id,title,body,category,priority,ticket_id
TK-27,Non va l'accesso al sistema dopo gli ultimi aggiornamenti,"Ciao! Dopo l'ultimo aggiornamento mi è saltata l'autenticazione. Non riesco proprio ad entrare nel portale, anche se ho controllato le credenziali più volte. Potete darmi una mano a sistemare questa cosa per favore? Grazie mille.",Tecnico,Bassa,tk27
TK-28,Info per accesso al database clienti,"Buongiorno! Eccomi di nuovo. Non riesco ad accedere all'area riservata del database, nonostante abbia verificato le credenziali più volte. Potreste gentilmente verificare lo stato dell'account o fornirmi istruzioni alternative? Grazie.",Tecnico,Bassa,tk28
TK-29,Urgente: non va l'accesso al portale clienti,"Da stamattina sto provando a accedere al portale ma mi chiede sempre credenziali errate. Ho ripristinato la password due volte e il problema persiste. Potete verificare se ci sono problemi lato server? Grazie, Marco Rossi.",Commerciale,Bassa,tk29
TK-30,Problema con l'accesso al database cliente dopo aggiornamento sistema,Vi scrivo perché non riesco ad accedere al database clienti da stamattina. Ho provato a riavviare il portatile ma il messaggio di errore persiste ed è bloccato sull'autenticazione utente. Potreste verificare se ci sono problemi con le credenziali o con l'integrazione del sistema?,Tecnico,Alta,tk30
TK-31,Richiesta chiarimenti sull'accesso al repository dati di produzione,"Ho necessità di segnalare un problema relativo alla sincronizzazione dei moduli. Ho notato che l'ultima versione del database non sta popolando correttamente i campi relativi ai codici prodotto ZETA-45. Potreste gentilmente verificare se ci sono delle dipendenze mancanti nel servizio backend? Grazie, Marco Rossi.",Tecnico,Bassa,tk31
TK-32,Non riesco ad accedere al sistema CRM,"Ho un problema: non rientro nel sistema CRM da stamattina, mi chiede sempre la password e non ricordo quale sia. Ho provato a resettarla ma il link non funziona. Potete aiutarmi subito?",Tecnico,Media,tk32
TK-33,Vi scrivo perché non riesco ad accedere alla sezione paghe online,Vi scrivo perché ho difficoltà a visualizzare l'ultima busta paga sul portale aziendale. Non ricordo le credenziali esatte e vorrei sapere come recuperarle o se è necessario un reset password. Potreste indicarmi la procedura corretta per risolvere questo problema?,Amministrazione,Bassa,tk33
TK-34,Non funziona l'accesso al portale amministrativo,Vi scrivo perché non riesco ad accedere alla sezione di gestione documenti. Ho provato con le credenziali corrette ma il sistema mi restituisce un errore di autenticazione. Potreste verificare se ci sono problemi lato server o se è necessario resettare i miei dati utente?,Amministrazione,Bassa,tk34
TK-35,Richiesta urgente: Problemi di accesso ai documenti amministrativi,"Dopo l'ultimo aggiornamento, non riesco proprio a trovare i moduli che mi servono. Ho provato tutto e continua a darmi errore. Serve una soluzione immediata.",Amministrazione,Media,tk35
TK-36,Problema di accesso ai canali commerciali per nuovi clienti,"Buongiorno! Eccomi di nuovo. Ho riscontrato un blocco nell'utilizzo dei flussi operativi dedicati all'acquisizione di nuovi clienti. Non riesco ad accedere alle tariffe aggiornate o al modulo di preventivazione avanzata, nonostante i permessi sembrino corretti. Potreste verificare la mia autorizzazione sul sistema? Grazie.",Commerciale,Alta,tk36
TK-37,Non va a caricare i report di vendita,"Ciao, non riesco ad accedere ai dati dei report di vendita. Ricevo un messaggio di errore che dice 'Timeout'. Potresti controllare se c'è qualche problema con l'accesso al server? Grazie.",Tecnico,Media,tk37
TK-38,Mancato funzionamento del modulo di invio dati sul CRM,"Buongiorno, scrivo perché non riesco ad inoltrare i report settimanali dal sistema. Ho provato a rifare l'accesso più volte ma il messaggio di errore persiste. Potreste verificare la mia autorizzazione per questa funzione? Grazie.",Tecnico,Media,tk38
TK-39,Problema con accesso al sistema contabilità,"Salve, ho notato che non riesco ad accedere al modulo di gestione fatture. Ho provato a resettare la password ma il sistema mi restituisce un errore di autenticazione persistente. Potreste verificare l'accesso o fornirmi supporto per risolvere questo blocco?",Amministrazione,Alta,tk39
TK-40,Urgente: non va l'accesso al portale clienti,"Ho necessità di segnalare un problema col login. Non riesco proprio ad entrare nel sistema oggi, è urgente perché devo chiudere subito quella pratica commerciale per il cliente Rossi. Mi sa che ho sbagliato qualcosa con la password o c'è un blocco generale? Grazie!",Commerciale,Alta,tk40
TK-41,Mancato funzionamento del modulo di invio ordini clienti,"Ciao, devo segnalare un problema con l'invio degli ordini. Quando provo a salvare i dati non succede nulla e ricevo un messaggio di errore generico. Potreste aiutarmi a capire perché il sistema non registra queste operazioni? Grazie.",Commerciale,Media,tk41
TK-42,Mancato funzionamento del login all'area clienti,"Buongiorno. Non so se è solo me, ma non riesco ad accedere al sistema da stamattina. Ho provato a resettare la password tre volte e continua a darmi errore. Voi sapete che è una cosa banale per un principiante come me, vero?",Tecnico,Bassa,tk42
TK-43,Aiuto: Accesso bloccato al sistema CRM dopo aggiornamento,"Salve, ho riscontrato un errore di autenticazione persistente nel sistema CRM. Non riesco ad accedere nonostante le credenziali siano corrette e l'account sia attivo. Potete verificare la configurazione dell'accesso o fornirmi indicazioni per lo sblocco?",Tecnico,Media,tk43
TK-44,Chiarimento su come funziona lo scontrino digitale,"Vi scrivo perché non capisco bene le cose relative agli scontrini digitali. Potete spiegarmi, per favore, dove devo guardare o cosa dovrei fare? Sono un po' principiante in queste roba.",Amministrazione,Media,tk44
TK-45,Problema con l'ultimo aggiornamento dei dati anagrafici,"Dopo l'ultimo aggiornamento, ho notato che i miei dati personali non sono cambiati e devo fare qualche passaggio in più? Sono un po' confuso su come gestire questa cosa. Grazie mille!",Amministrazione,Bassa,tk45
TK-46,Aiuto: Richiesta informazioni sui termini contrattuali aggiornati,"Ciao, vorrei richiedere un chiarimento relativo alle condizioni commerciali per il prossimo trimestre. Potreste fornirmi i dettagli più recenti o indicarmi la sezione del portale dove posso consultare tali informazioni? Grazie.",Commerciale,Bassa,tk46
TK-47,Aiuto: Non riesco ad accedere al sistema CRM,"Scusate il disturbo. Ho problemi a loggarmi sul sistema CRM questa mattina. Potreste controllare se ci sono interruzioni o indicarmi i passaggi corretti per l'accesso, per favore?",Tecnico,Media,tk47
TK-48,Info per l'accesso ai documenti contabili di aprile,"Non so più che fare, questo sistema è un disastro. Ho provato a scaricare le fatture ma mi chiede sempre credenziali sbagliate. Serve una soluzione immediata perché devo inviare i report stamattina e non ho tempo da perdere.",Amministrazione,Media,tk48
TK-49,Chiarimento su condizioni contrattuali per nuove licenze,"Salve, vorrei avere un chiarimento riguardo le tariffe e i termini di acquisto per due nuove licenze software. Sono interessato a capire se è prevista una tariffazione scontata per l'acquisto multiplo o se devo procedere con la singola licenza. Grazie in anticipo.",Commerciale,Media,tk49
TK-50,Info per accesso al database utente,"Ho già provato a riavviare l'applicazione e ho verificato le credenziali. Non riesco ad accedere al modulo di reportistica avanzata perché mi chiede un permesso che non possiedo, anche se sono assegnato al gruppo 'Analisti Senior'. Potete verificare il mio livello di permessi per la sezione X? Grazie.",Tecnico,Alta,tk50
TK-51,Richiesta urgente: Problemi di accesso alla sezione pagamenti fatture,"Dopo l'ultimo aggiornamento, non riesco ad accedere alla dashboard amministrativa per la gestione dei pagamenti. Ho provato a resettare le credenziali ma il sistema mi riporta comunque un errore 403. Potreste verificare se ci sono problemi di permessi o se è necessario un intervento manuale? Grazie mille.",Amministrazione,Media,tk51
TK-52,Non funziona l'accesso al portale clienti dopo aggiornamento,"Salve, ho problemi ad accedere al portale clienti da stamattina. Ho provato a resettare la password ma il sistema mi riporta un errore di autenticazione. Potete verificare se ci sono problemi lato server o indicarmi una procedura alternativa per l'accesso?",Commerciale,Media,tk52
TK-53,Non riesco a far funzionare questo sistema di reportistica,"Ho un problema: non capisco perché i dati che escono qui siano sbagliati. Ho provato a rifare tutto da capo, ma continua a darmi risultati assurdi. Potete controllare se c'è qualcosa di bloccato nel backend?",Tecnico,Alta,tk53
TK-54,Info per come funziona lo sconto sui nuovi contratti,"Ciao, vorrei capire meglio se ho diritto a qualche sconto sul rinnovo del servizio. Non sono sicuro di quali siano le opzioni migliori in questo momento. Grazie mille!",Commerciale,Bassa,tk54
TK-55,Aiuto: Problema con le tariffe commerciali aggiornate,"Ho un problema: ho notato una discrepanza nelle tariffe che mi sono state inviate per la prossima fatturazione. Potreste gentilmente verificare se ci sia stato un errore nel calcolo o se devo seguire una procedura diversa? Grazie, mi chiamo Marco Rossi.",Commerciale,Bassa,tk55
TK-56,Non funziona l'accesso al portale amministrativo,"Buongiorno, ho notato che non riesco ad accedere alla sezione relativa alle fatture di marzo. Potrebbe indicarmi la procedura corretta o se c'è un problema tecnico? Sono Marco Rossi e grazie per il vostro aiuto.",Amministrazione,Bassa,tk56
TK-57,Ho bisogno di assistenza con l'attivazione del modulo fiscale,"Ho un problema: Devo finalizzare l'integrazione dei dati fiscali per il nuovo cliente. Non riesco ad accedere alla sezione avanzata del portale, nonostante i permessi siano stati confermati ieri. Potete verificare se ci sono restrizioni di sistema o se è necessario un intervento manuale da parte vostra?",Commerciale,Media,tk57
TK-58,Chiarimento su problemi di connettività VPN dopo l'ultimo aggiornamento,"Ho bisogno di fare una call subito, non riesco ad accedere al server principale. Ho appena provato a riconnettermi e mi dà un errore 403 che prima non esisteva. Questo è un problema critico, ditemi cosa devo fare ora.",Tecnico,Alta,tk58
TK-59,Assistenza immediata per problemi di sincronizzazione dati CRM,"Salve, ho notato che i miei dati nel modulo X non si stanno aggiornando correttamente su cloud. Sembra che ci sia un ritardo nella sincronizzazione tra la mia workstation e il server centrale. Potreste verificare se è necessario riavviare qualche servizio o se c'è un problema di permessi? Grazie, sono Andrea Rossi.",Tecnico,Bassa,tk59
TK-60,Richiesta chiarimenti sulla procedura di invio nota spese,"Creo questo ticket per capire come devo procedere con l'invio delle note spese del mese scorso. Ho raccolto tutte le ricevute ma non ricordo se devo usare il portale o mandarle via email. Serve sapere subito, grazie.",Amministrazione,Media,tk60
TK-61,Info per l'accesso ai documenti di bilancio 2023,"Salve. Non capisco perché il sistema mi blocchi sempre quando cerco i report finanziari. Ho passato mezz'ora a cercare la sezione corretta, ma non ci arrivo da nessuna parte. Risolvete questo problema subito, per favore.",Amministrazione,Alta,tk61
TK-62,Chiarimento su procedure di rimborso spese aziendali,"Non volevo proprio dirlo, ma ho notato che la procedura per i rimborsi è cambiata da ieri. Potrei avere un chiarimento sui documenti esatti necessari e sulla tempistica di accredito? Sono Marco Rossi e mi serve sapere come procedere al più presto.",Amministrazione,Alta,tk62
TK-63,Aiuto: Accesso negato al portale finanziario aziendale,"Buongiorno. Sembra che l'accesso al sistema di gestione contabile sia bloccato per qualche motivo assurdo. Ho verificato le credenziali tre volte, quindi non è un mio errore evidente. Risolvete questo pasticcio prima che mi ritardi su altri impegni importanti.",Amministrazione,Alta,tk63
TK-64,Mancato funzionamento del sistema di gestione ordini dopo aggiornamento,"Non so più che fare con questo problema. Da stamattina non riesco ad accedere alla sezione degli ordini, anche se ho inserito le credenziali corrette. Potete aiutarmi a capire perché il sistema mi blocca l'accesso? Grazie.",Commerciale,Bassa,tk64
TK-65,Aiuto: Non riesco a trovare i dati di fatturazione del trimestre scorso,Non so più che fare. Ho bisogno di recuperare urgentemente i dettagli relativi alla fatturazione del trimestre precedente per una revisione interna. Potete indicarmi la procedura corretta o fornirmi l'accesso ai report necessari? Grazie.,Commerciale,Bassa,tk65
TK-66,Problema con l'accesso al sistema CRM,"Ciao, ho notato un errore di autenticazione quando cerco di accedere al sistema CRM. Ho provato a resettare la password ma il problema persiste. Potreste verificare se ci sono problemi lato server? Grazie.",Tecnico,Bassa,tk66
TK-67,Problema con l'accesso al sistema CRM,"Salve, ho notato che non riesco ad accedere all'ambiente di test del CRM stamattina. Ho già verificato le credenziali e la connessione è stabile. Potreste controllare se ci sono problemi lato server? Grazie.",Tecnico,Bassa,tk67
TK-68,Richiesta chiarimenti sulla fatturazione e sulle condizioni contrattuali,"Buongiorno! Eccomi di nuovo. Vorrei sapere come posso procedere per verificare l'ultima fattura che ho ricevuto, perché non sono sicuro della voce relativa all'abbonamento annuale. Potreste indicarmi la procedura corretta o se devo contattare un referente specifico? Grazie in anticipo.",Commerciale,Bassa,tk68
TK-69,"Assistenza immediata per il login al CRM, non mi entra","Gentile supporto, vi contatto perché ho un problema assurdo. Non riesco proprio a fare il login sul CRM stamattina e mi sta bloccando tutto il lavoro. Mi serve una mano urgente, grazie mille.",Tecnico,Alta,tk69
TK-70,Chiarimento su l'integrazione API del modulo CRM,"Ho un problema: da stamattina non riesco a far comunicare bene il sistema X con il nuovo database. Ho provato tutti i passaggi manuali, ma continua a dare errore 503. Serve una verifica tecnica urgente sul flusso dati.",Tecnico,Alta,tk70
TK-71,Procedura per l'accesso al sistema CRM dopo aggiornamento,Buongiorno! Eccomi di nuovo. Non riesco ad accedere al CRM da stamattina nonostante abbia provato a resettare la password due volte. Potete controllare se è un problema lato server? Grazie.,Tecnico,Bassa,tk71
TK-72,Problema con l'accesso ai documenti contabili di aprile,"Vorrei segnalare che non riesco proprio ad aprire i file dei costi del mese scorso. È la terza volta questa settimana che succede e ho davvero bisogno di questi dati per stamattina. Aiuto, cosa devo fare?",Amministrazione,Media,tk72
TK-73,Info per l'integrazione API dei nuovi moduli di reportistica,"Salve, sto riscontrando un comportamento anomalo nell'endpoint /v2/report. Ho notato che i dati relativi al Q3 non vengono popolati correttamente quando li richiamo con il filtro 'client_id=XYZ'. Potrei avere una verifica sulla compatibilità del nuovo schema di richiesta JSON? Grazie.",Commerciale,Media,tk73
TK-74,Richiesta chiarimenti sull'applicazione delle nuove tariffe di servizio B2B,Scusate il disturbo. Sto analizzando l'ultimo preventivo e non mi è chiaro come sono stati calcolati i costi per la licenza annuale dei moduli avanzati. Potreste fornirmi una ripartizione dettagliata o un riferimento alla sezione contrattuale che regola questa specifica voce? Grazie in anticipo.,Commerciale,Bassa,tk74
TK-75,Richiesta chiarimenti sulla gestione delle spese aziendali,Ho un problema: devo capire come funziona l'approvazione dei rimborsi. Ho provato a inserire la nota spese ma il sistema mi dà errore ogni volta. Potete spiegarmi meglio i passaggi per inviare tutto correttamente?,Amministrazione,Media,tk75
TK-76,Richiesta chiarimenti sul preventivo per l'aggiornamento del software,"Ciao! Ho già provato a riavviare il sistema ma non sono sicuro di dove guardare. Mi potete aiutare con i dettagli dei costi per l'upgrade? Devo sapere se c'è un costo extra nascosto per le licenze annuali, perché mi è venuto tutto confuso leggendo la vostra pagina.",Commerciale,Media,tk76
TK-77,Errore con sincronizzazione dati progetto X,Ho un problema: non riesco a salvare le modifiche sul database del progetto. Ho provato a riavviare il client ma l'errore persiste e mi blocca la procedura di chiusura giornata.,Tecnico,Bassa,tk77
TK-78,Aiuto: Non riesco ad aprire i file PDF,"Creo questo ticket perché non mi aprono i file pdf che ho scaricato stamattina. Ho provato a riavviare il pc ma niente da fare, è un po' urgente perché devo inviare una presentazione importante oggi pomeriggio. Grazie mille!",Tecnico,Alta,tk78
TK-79,Procedura per attivazione servizi commerciali extra,"Creo questo ticket perché ho bisogno di capire come funziona l'attivazione dei vostri servizi premium. Visto che è un primo utilizzo, spero non sia troppo complicato da gestire. Non mi fate perdere tempo con istruzioni inutili.",Commerciale,Alta,tk79
TK-80,Non so più che fare... Problema con la gestione delle note spese,"Buongiorno, ho bisogno di aiuto per registrare le mie ultime note spese. Non riesco a caricare correttamente i documenti e il sistema mi dà un errore generico. Potreste indicarmi come procedere o se devo usare un altro canale?",Amministrazione,Media,tk80
TK-81,Non va il sistema di gestione ordini,"Buongiorno! Eccomi di nuovo, non ci posso credere. Perché devo chiamare per questo? Non riesco a trovare nulla nel pannello clienti e ho perso un'ora intera. Risolvete subito questa cosa.",Commerciale,Bassa,tk81
TK-82,Mancato funzionamento del sistema di reporting dati avanzati,"Non volevo proprio dirlo, ma non riesco a far funzionare questo report che dovrebbe agganciare i dati. Ho provato tutti i passaggi e sembra tutto giusto, però il risultato è sempre sbagliato o manca qualcosa. Secondo me è un problema del backend, non capisco perché.",Tecnico,Bassa,tk82
TK-83,Assistenza immediata per configurazione account e accesso dati,"Ho già provato a riavviare, ma il sistema non mi permette di accedere ai moduli di registrazione. Ho necessità di assistenza per la corretta configurazione del mio nuovo account utente. Potete verificare l'accesso da remoto o fornirmi istruzioni dettagliate?",Commerciale,Media,tk83
TK-84,Procedura per accesso al sistema CRM dopo aggiornamento,"Ho già provato a riavviare il computer e ho verificato le credenziali. Non riesco ad accedere all'area clienti del CRM, mostrando un messaggio di errore 403. Potreste indicarmi i passaggi corretti o se è necessario un reset dei permessi utente? Grazie.",Tecnico,Media,tk84
TK-85,Assistenza immediata per problemi di gestione spese aziendali,"Ho bisogno di fare una call su come procedere con l'invio e la contabilizzazione delle ricevute di viaggio. Non sono sicuro del processo corretto da seguire sul sistema interno. Potete indicarmi i passaggi necessari, per favore?",Amministrazione,Bassa,tk85
TK-86,Problema con l'accesso all'area riservata clienti,"Buongiorno, vorrei segnalare un inconveniente relativo alla consultazione dei miei dati contrattuali. Non riesco ad accedere correttamente all'area riservata nonostante le credenziali siano valide. Potreste verificare la situazione per favore? Grazie.",Commerciale,Bassa,tk86
TK-87,Aiuto: Il pagamento del fornitore è bloccato da ieri,"Ho già provato a riavviare il sistema, ma nulla cambia. Non riesco ad accedere alla sezione pagamenti per l'ultimo ordine e ho bisogno di risolvere questa cosa subito perché siamo in ritardo con i fornitori. Mi serve un intervento immediato.",Amministrazione,Alta,tk87
TK-88,Bloccato su sincronizzazione dati utente XYZ,"Non volevo proprio dirlo, ma non riesco a fare la sincronizzazione dei dati del progetto Alpha. È un blocco totale e mi sta costando tempo prezioso. Ho provato i passaggi standard ma niente da nulla. Aiuto urgente per favore.",Tecnico,Media,tk88
TK-89,Non funziona l'accesso al sistema CRM dopo aggiornamento,"Da stamattina sto provando a loggarmi sul CRM ma mi dà errore di autorizzazione. Ho controllato tutte le credenziali e ho anche resettato la password, quindi il problema non è da parte mia. Serve un intervento urgente perché devo chiudere queste pratiche oggi stesso.",Tecnico,Media,tk89
TK-90,Errore quando provo a fare l'ordine di pagamenti,"Ciao! Scusa se ti disturbo. Ho un problema col sistema amministrativo. Non riesco proprio ad finalizzare l'ordine dei pagamenti, mi dà sempre errore. È successo mentre stavo provando a sistemare le fatture di questo mese. Fammi sapere che devo fare per risolvere.",Amministrazione,Media,tk90
TK-91,Chiarimento su procedura di accesso ai documenti contabili del Q3,"Così non posso lavorare! Ho riscontrato un blocco nell'accesso al sistema ERP. Non riesco a recuperare i report finanziari richiesti per la chiusura mensile, nonostante abbia verificato le mie credenziali e i permessi di gruppo. Potrei ricevere assistenza immediata per ripristinare l'autorizzazione necessaria?",Amministrazione,Alta,tk91
TK-92,Non riesco ad accedere alla sezione pagamento,"Vi scrivo perché da stamattina non riesco assolutamente a completare l'operazione di pagamento. Ho provato più volte e mi dà sempre un errore generico che non capisco. Serve una soluzione immediata, sono furioso per questo ritardo.",Amministrazione,Media,tk92
TK-93,Urgente: non va l'accesso al portale clienti,Vi scrivo perché ho riscontrato difficoltà nell'accedere alla sezione riservata del vostro portale. Ho provato a effettuare il login più volte ma mi viene richiesto un aggiornamento delle credenziali che non riesco ad eseguire autonomamente. Potreste gentilmente fornirmi assistenza per la risoluzione di questo inconveniente?,Commerciale,Bassa,tk93
TK-94,Errore accesso al portale amministrativo dopo aggiornamento sistema,"Ciao, ho notato che non riesco a generare i report di spesa mensili dal nuovo pannello utente. Ho provato diverse credenziali e pulito la cache, ma il sistema mi restituisce sempre un codice 403. Potresti verificare se c'è qualche restrizione sui permessi per l'utente 'M. Rossi'? Grazie.",Amministrazione,Alta,tk94
TK-95,Urgente: non va l'integrazione CRM-ERP dopo l'ultimo aggiornamento,Ho bisogno di fare una call su un problema che ho riscontrato. Sembra che il flusso dati tra il nostro CRM e l'ERP si sia bloccato completamente dopo aver fatto l'aggiornamento ieri pomeriggio. Ci serve un check veloce perché devo chiudere un preventivo importante oggi stesso.,Commerciale,Media,tk95
TK-96,Urgente: non va l'accesso al portale clienti,"Non so più che fare. Ho problemi a visualizzare i dettagli dell'ultima fattura sul vostro sistema online. Potreste indicarmi la procedura corretta per recuperare queste informazioni? Grazie, sono Marco Rossi.",Commerciale,Bassa,tk96
